status,floor,transaction,bathroom,Rate_per_sqft,bedroom,carpet_area_sqft,area,Price_Lakhs,area_median_ppsf,ppsf_vs_area
Ready to Move,2,Resale,2.0,6522.0,3,884.0,Noida,150.0,7233.0,0.9017005391953546
Ready to Move,2,Resale,4.0,10714.0,2,525.0,Noida,150.0,7233.0,1.4812664178072723
Ready to Move,1,Resale,2.0,6667.0,2,810.0,Gurgaon,35.0,9259.0,0.7200561615725241
Ready to Move,0,Resale,2.0,6420.0,4,850.0,New Delhi,69.3,8796.0,0.7298772169167803
Ready to Move,0,Resale,6.0,50610.0,5,1836.0,New Delhi,415.0,8796.0,5.7537517053206
Ready to Move,4,Resale,2.0,3900.0,2,2500.0,Ghaziabad,39.0,5590.0,0.6976744186046512
Ready to Move,3,Resale,3.0,3562.0,3,5320.0,Gurgaon,139.0,9259.0,0.3847067717896101
Ready to Move,4,Resale,2.0,5319.0,1,500.0,Ghaziabad,13.0,5590.0,0.951520572450805
Ready to Move,8,Resale,2.0,13513.0,2,1150.0,Faridabad,70.0,5662.5,2.3864017660044152
Ready to Move,5,Resale,4.0,7049.0,4,1150.0,Noida,450.0,7233.0,0.9745610396792479
Ready to Move,3,New Property,5.0,5000.0,5,1150.0,Gurgaon,375.0,9259.0,0.5400151204233719
Ready to Move,0,Resale,3.0,3125.0,3,1150.0,New Delhi,300.0,8796.0,0.355275125056844
Ready to Move,11,Resale,3.0,7472.0,3,1150.0,Noida,72.9,7233.0,1.0330429973731508
Ready to Move,3,New Property,4.0,5938.0,5,1150.0,New Delhi,269.0,8796.0,0.6750795816280127
Ready to Move,0,Resale,2.0,10185.0,2,1150.0,Noida,69.0,7233.0,1.40812940688511
Ready to Move,1,Resale,1.0,4364.0,1,1150.0,Noida,55.0,7233.0,0.6033457763030554
Ready to Move,1,Resale,1.0,5215.0,1,1150.0,Greater Noida,24.0,5784.5,0.9015472383092747
Ready to Move,1,Resale,3.0,4232.0,3,1150.0,Noida,100.0,7233.0,0.5850960873772985
Ready to Move,1,New Property,2.0,3798.0,3,1150.0,Ghaziabad,51.0,5590.0,0.679427549194991
Ready to Move,1,Resale,2.0,7631.0,3,1150.0,Ghaziabad,45.5,5590.0,1.3651162790697675
Ready to Move,9,Resale,2.0,4476.0,2,950.0,Ghaziabad,47.0,5590.0,0.8007155635062612
Ready to Move,15,Resale,2.0,4444.0,2,1815.0,Ghaziabad,48.0,5590.0,0.7949910554561718
Ready to Move,2,Resale,3.0,7188.0,3,700.0,Ghaziabad,115.0,5590.0,1.2858676207513418
Ready to Move,1,Resale,1.0,3444.0,1,3150.0,Ghaziabad,15.5,5590.0,0.6161001788908765
Ready to Move,0,Resale,2.0,6364.0,2,1150.0,Ghaziabad,70.0,5590.0,1.1384615384615384
Ready to Move,18,Resale,2.0,7049.0,3,1150.0,Greater Noida,86.0,5784.5,1.2186014348690466
Ready to Move,7,Resale,7.0,3500.0,5,1150.0,Noida,140.0,7233.0,0.48389326697082813
Ready to Move,2,Resale,2.0,3733.0,2,1150.0,Ghaziabad,28.0,5590.0,0.6677996422182468
Ready to Move,10,Resale,5.0,13378.0,5,1150.0,Noida,360.0,7233.0,1.8495783215816397
Ready to Move,0,Resale,2.0,13846.0,1,1150.0,Noida,900.0,7233.0,1.9142817641365961
Ready to Move,5,Resale,3.0,5091.0,3,1150.0,Ghaziabad,84.0,5590.0,0.9107334525939177
Ready to Move,2,Resale,1.0,10204.0,1,1150.0,Noida,100.0,7233.0,1.410756256048666
Ready to Move,9,Resale,3.0,3333.0,1,1150.0,Ghaziabad,15.0,5590.0,0.5962432915921289
Ready to Move,1,Resale,4.0,12174.0,4,1150.0,New Delhi,280.0,8796.0,1.384038199181446
Ready to Move,1,Resale,2.0,13492.0,4,1150.0,Noida,425.0,7233.0,1.8653394165629753
Ready to Move,1,New Property,2.0,6000.0,2,700.0,Ghaziabad,45.0,5590.0,1.073345259391771
Ready to Move,2,Resale,2.0,3889.0,3,765.0,Ghaziabad,31.5,5590.0,0.6957066189624329
Ready to Move,2,Resale,2.0,5000.0,2,725.0,Gurgaon,30.0,9259.0,0.5400151204233719
Ready to Move,2,Resale,2.0,3810.0,3,700.0,Faridabad,40.0,5662.5,0.6728476821192053
Ready to Move,2,Resale,4.0,14915.0,4,900.0,Gurgaon,650.0,9259.0,1.6108651042229183
Ready to Move,2,Resale,3.0,12981.0,3,1900.0,Gurgaon,300.0,9259.0,1.401987255643158
Ready to Move,4,New Property,2.0,5333.0,2,540.0,New Delhi,36.0,8796.0,0.6062983174170077
Ready to Move,2,Resale,2.0,8889.0,2,1080.0,Ghaziabad,80.0,5590.0,1.5901610017889087
Ready to Move,2,Resale,2.0,4488.0,2,2200.0,Noida,57.0,7233.0,0.6204894234757362
Ready to Move,7,Resale,3.0,3226.0,3,1150.0,New Delhi,158.0,8796.0,0.3667576170986812
Ready to Move,2,Resale,3.0,14444.0,3,1150.0,Ghaziabad,50.0,5590.0,2.5838998211091235
Ready to Move,2,New Property,2.0,6500.0,2,1150.0,New Delhi,130.0,8796.0,0.7389722601182356
Ready to Move,5,Resale,3.0,13500.0,3,1150.0,New Delhi,65.0,8796.0,1.534788540245566
Ready to Move,4,Resale,1.0,4444.0,5,1150.0,Noida,270.0,7233.0,0.6144061938338172
Ready to Move,1,Resale,3.0,19199.0,1,1150.0,Ghaziabad,20.0,5590.0,3.434525939177102
Ready to Move,1,Resale,2.0,6481.0,3,1150.0,New Delhi,235.0,8796.0,0.73681218735789
Ready to Move,5,New Property,3.0,3817.0,5,1150.0,Ghaziabad,35.0,5590.0,0.6828264758497317
Ready to Move,1,Resale,2.0,16667.0,3,1150.0,Noida,50.0,7233.0,2.3042997373150835
Ready to Move,1,Resale,2.0,4867.0,3,1150.0,New Delhi,200.0,8796.0,0.5533196907685312
Ready to Move,1,Resale,1.0,8065.0,2,1150.0,New Delhi,36.5,8796.0,0.916894042746703
Ready to Move,1,Resale,3.0,5078.0,2,1150.0,New Delhi,45.0,8796.0,0.5773078672123693
Ready to Move,1,Resale,2.0,7631.0,4,1150.0,New Delhi,750.0,8796.0,0.8675534333788085
Ready to Move,3,Resale,2.0,4257.0,2,2000.0,New Delhi,29.5,8796.0,0.4839699863574352
Ready to Move,3,Resale,2.0,4000.0,3,1800.0,Gurgaon,44.0,9259.0,0.43201209633869747
Ready to Move,2,Resale,2.0,3158.0,2,1050.0,Ghaziabad,30.0,5590.0,0.5649373881932022
Ready to Move,2,Resale,2.0,8445.0,3,2600.0,Noida,55.0,7233.0,1.167565325591041
Ready to Move,2,Resale,2.0,13216.0,2,1750.0,New Delhi,95.0,8796.0,1.5025011368804002
Ready to Move,18,Resale,3.0,12444.0,3,650.0,New Delhi,300.0,8796.0,1.4147339699863575
Ready to Move,7,Resale,3.0,14286.0,3,1150.0,Ghaziabad,45.0,5590.0,2.555635062611807
Ready to Move,1,Resale,5.0,13333.0,4,1150.0,New Delhi,500.0,8796.0,1.5158026375625284
Ready to Move,1,Resale,5.0,6458.0,5,1150.0,Noida,240.0,7233.0,0.8928522051707452
Ready to Move,8,Resale,3.0,7059.0,3,1150.0,Noida,125.0,7233.0,0.9759435918705931
Ready to Move,9,Resale,3.0,3889.0,3,1150.0,Noida,120.0,7233.0,0.5376745472141573
Ready to Move,0,Resale,3.0,9486.0,4,1150.0,Gurgaon,150.0,9259.0,1.024516686467221
Under Construction,1,Resale,3.0,4274.0,3,1150.0,Gurgaon,120.0,9259.0,0.4616049249378983
Ready to Move,15,Resale,2.0,31061.0,3,1150.0,Gurgaon,108.0,9259.0,3.3546819310940705
Ready to Move,1,Resale,5.0,2900.0,4,1150.0,New Delhi,1025.0,8796.0,0.32969531605275126
Under Construction,1,Resale,2.0,8500.0,3,1150.0,Faridabad,29.0,5662.5,1.5011037527593818
Ready to Move,1,Resale,2.0,25341.0,2,1150.0,New Delhi,85.0,8796.0,2.880968622100955
Ready to Move,1,Resale,2.0,19048.0,2,1150.0,New Delhi,62.0,8796.0,2.1655297862664846
Ready to Move,1,New Property,5.0,7631.0,4,1150.0,Noida,800.0,7233.0,1.05502557721554
Ready to Move,18,Resale,4.0,5105.0,4,1200.0,Gurgaon,102.0,9259.0,0.5513554379522627
Ready to Move,2,Resale,3.0,8387.0,3,1128.0,Gurgaon,130.0,9259.0,0.905821362998164
Ready to Move,2,Resale,3.0,5051.0,3,900.0,Faridabad,150.0,5662.5,0.8920088300220751
Ready to Move,1,Resale,2.0,7937.0,3,1350.0,New Delhi,75.0,8796.0,0.9023419736243747
Ready to Move,1,Resale,2.0,14737.0,2,720.0,New Delhi,140.0,8796.0,1.6754206457480674
Ready to Move,3,Resale,3.0,22222.0,3,900.0,New Delhi,360.0,8796.0,2.52637562528422
Ready to Move,2,New Property,4.0,14006.0,3,905.0,Gurgaon,252.0,9259.0,1.5126903553299493
Ready to Move,1,Resale,2.0,11600.0,3,1150.0,New Delhi,145.0,8796.0,1.318781264211005
Ready to Move,0,Resale,2.0,586510.0,4,1150.0,New Delhi,2000.0,8796.0,66.67917235106867
Ready to Move,2,Resale,4.0,16250.0,4,1150.0,Gurgaon,325.0,9259.0,1.7550491413759586
Ready to Move,2,New Property,3.0,16389.0,3,1150.0,New Delhi,295.0,8796.0,1.8632332878581173
Ready to Move,11,Resale,3.0,12718.0,3,1150.0,Gurgaon,175.0,9259.0,1.3735824603088886
Ready to Move,16,Resale,2.0,4070.0,3,1150.0,Ghaziabad,58.0,5590.0,0.7280858676207513
Ready to Move,16,Resale,5.0,5750.0,4,1150.0,Ghaziabad,230.0,5590.0,1.0286225402504472
Ready to Move,3,New Property,4.0,10682.0,4,1150.0,Gurgaon,235.0,9259.0,1.1536883032724916
Ready to Move,1,Resale,2.0,8000.0,2,1150.0,New Delhi,36.0,8796.0,0.9095043201455207
Ready to Move,5,Resale,3.0,7357.0,3,1200.0,Gurgaon,126.0,9259.0,0.7945782481909494
Ready to Move,2,Resale,1.0,6272.0,2,5000.0,New Delhi,35.0,8796.0,0.7130513869940882
Ready to Move,3,Resale,3.0,9155.0,3,1100.0,Ghaziabad,170.0,5590.0,1.6377459749552772
Ready to Move,2,Resale,2.0,6294.0,2,900.0,Ghaziabad,62.0,5590.0,1.1259391771019678
Ready to Move,1,Resale,2.0,12500.0,2,1200.0,New Delhi,150.0,8796.0,1.421100500227376
Ready to Move,21,Resale,2.0,6198.0,2,1400.0,Ghaziabad,75.0,5590.0,1.1087656529516994
Ready to Move,4,Resale,1.0,6667.0,2,1109.0,New Delhi,45.0,8796.0,0.7579581628012733
Ready to Move,2,Resale,2.0,4444.0,2,1150.0,New Delhi,28.0,8796.0,0.5052296498408367
Ready to Move,0,Resale,2.0,4167.0,3,1150.0,New Delhi,50.0,8796.0,0.4737380627557981
Ready to Move,3,New Property,2.0,5200.0,2,1150.0,Gurgaon,52.0,9259.0,0.5616157252403067
Ready to Move,4,Resale,3.0,6856.0,3,1150.0,Gurgaon,121.0,9259.0,0.7404687331245274
Ready to Move,4,Resale,2.0,10370.0,2,1150.0,New Delhi,140.0,8796.0,1.1789449749886312
Under Construction,2,Resale,1.0,3556.0,1,1150.0,New Delhi,14.4,8796.0,0.40427467030468395
Under Construction,2,Resale,3.0,17568.0,3,1150.0,Gurgaon,325.0,9259.0,1.8973971271195593
Under Construction,4,Resale,2.0,2938.0,3,1150.0,Faridabad,55.0,5662.5,0.5188520971302428
Ready to Move,2,Resale,2.0,11487.0,2,1150.0,Greater Noida,112.0,5784.5,1.9858241853228455
Ready to Move,1,Resale,2.0,3867.0,2,1150.0,New Delhi,29.0,8796.0,0.43963165075034105
Ready to Move,1,New Property,4.0,9568.0,4,1150.0,Gurgaon,310.0,9259.0,1.0333729344421643
Ready to Move,10,New Property,3.0,4277.0,3,1800.0,Greater Noida,68.0,5784.5,0.7393897484657274
Ready to Move,8,Resale,3.0,9545.0,4,1650.0,New Delhi,210.0,8796.0,1.0851523419736244
Ready to Move,7,Resale,4.0,11653.0,3,1188.0,Gurgaon,275.0,9259.0,1.2585592396587104
Ready to Move,3,Resale,2.0,9630.0,2,4000.0,New Delhi,65.0,8796.0,1.0948158253751705
Ready to Move,2,Resale,3.0,2613.0,3,1050.0,Ghaziabad,40.0,5590.0,0.46744186046511627
Ready to Move,12,New Property,1.0,3253.0,1,1150.0,Ghaziabad,20.7,5590.0,0.5819320214669051
Ready to Move,12,New Property,1.0,3253.0,1,1150.0,Ghaziabad,20.7,5590.0,0.5819320214669051
Under Construction,12,New Property,1.0,3297.0,1,1150.0,Ghaziabad,21.0,5590.0,0.5898032200357782
Ready to Move,15,Resale,3.0,9243.0,3,1150.0,New Delhi,171.0,8796.0,1.050818553888131
Ready to Move,0,Resale,4.0,6446.0,3,1150.0,Noida,115.0,7233.0,0.8911931425411309
Ready to Move,7,Resale,1.0,10000.0,1,1150.0,New Delhi,45.0,8796.0,1.1368804001819008
Ready to Move,0,Resale,2.0,12134.0,3,1150.0,New Delhi,170.0,8796.0,1.3794906775807185
Ready to Move,9,Resale,5.0,20455.0,4,1150.0,New Delhi,450.0,8796.0,2.3254888585720783
Ready to Move,12,New Property,3.0,16667.0,3,1150.0,New Delhi,500.0,8796.0,1.894838562983174
Under Construction,2,Resale,3.0,5271.0,5,1150.0,Gurgaon,135.0,9259.0,0.5692839399503186
Ready to Move,5,Resale,2.0,5717.0,2,1150.0,Ghaziabad,65.0,5590.0,1.0227191413237924
Ready to Move,14,Resale,4.0,5442.0,4,1150.0,Greater Noida,200.0,5784.5,0.9407900423545682
Ready to Move,1,New Property,3.0,9450.0,3,1150.0,Gurgaon,151.0,9259.0,1.020628577600173
Ready to Move,1,Resale,2.0,8511.0,2,1150.0,Noida,100.0,7233.0,1.1766901700539196
Ready to Move,1,Resale,3.0,15385.0,4,1150.0,New Delhi,300.0,8796.0,1.7490904956798545
Ready to Move,15,Resale,2.0,3529.0,2,2100.0,Greater Noida,36.0,5784.5,0.6100786584838793
Ready to Move,0,Resale,3.0,15278.0,3,1456.0,New Delhi,275.0,8796.0,1.7369258753979082
Ready to Move,2,Resale,2.0,6667.0,2,1850.0,New Delhi,42.0,8796.0,0.7579581628012733
Ready to Move,4,Resale,1.0,3030.0,2,1150.0,Ghaziabad,15.0,5590.0,0.5420393559928444
Ready to Move,4,Resale,1.0,5926.0,1,1150.0,Greater Noida,16.0,5784.5,1.0244619241075288
Under Construction,10,Resale,3.0,5172.0,3,1150.0,Noida,75.0,7233.0,0.7150559933637495
Ready to Move,4,Resale,2.0,6484.0,2,1150.0,Gurgaon,71.0,9259.0,0.7002916081650287
Ready to Move,3,Resale,2.0,7222.0,2,1150.0,New Delhi,65.0,8796.0,0.8210550250113688
Ready to Move,15,Resale,2.0,4808.0,2,1150.0,Noida,50.0,7233.0,0.6647310935987834
Ready to Move,1,Resale,1.0,11111.0,2,1150.0,New Delhi,80.0,8796.0,1.26318781264211
Ready to Move,1,Resale,2.0,11600.0,3,1150.0,New Delhi,145.0,8796.0,1.318781264211005
Ready to Move,1,Resale,2.0,12121.0,3,1150.0,New Delhi,120.0,8796.0,1.378012733060482
Ready to Move,1,Resale,3.0,5769.0,3,1150.0,Faridabad,48.6,5662.5,1.0188079470198677
Ready to Move,3,Resale,1.0,4118.0,1,1150.0,New Delhi,35.0,8796.0,0.4681673487949068
Ready to Move,2,New Property,2.0,12472.0,2,1150.0,Gurgaon,38.5,9259.0,1.3470137163840588
Ready to Move,0,Resale,2.0,7222.0,2,1150.0,New Delhi,55.0,8796.0,0.8210550250113688
Ready to Move,0,Resale,2.0,10101.0,2,1150.0,New Delhi,65.0,8796.0,1.148362892223738
Ready to Move,8,Resale,4.0,3005.0,5,1150.0,Faridabad,625.0,5662.5,0.5306843267108168
Ready to Move,8,Resale,4.0,8151.0,4,1150.0,New Delhi,300.0,8796.0,0.9266712141882674
Ready to Move,1,Resale,3.0,7631.0,3,1150.0,Noida,145.0,7233.0,1.05502557721554
Ready to Move,3,Resale,2.0,3158.0,3,900.0,New Delhi,35.0,8796.0,0.3590268303774443
Ready to Move,0,Resale,2.0,6422.0,2,750.0,Faridabad,30.0,5662.5,1.1341280353200882
Ready to Move,10,Resale,2.0,6462.0,2,612.0,Noida,70.0,7233.0,0.8934052260472832
Ready to Move,2,Resale,2.0,4127.0,2,420.0,Ghaziabad,17.5,5590.0,0.7382826475849732
Ready to Move,1,Resale,1.0,4800.0,2,540.0,New Delhi,26.0,8796.0,0.5457025920873124
Ready to Move,2,Resale,1.0,5333.0,1,2666.0,New Delhi,24.0,8796.0,0.6062983174170077
Ready to Move,0,Resale,2.0,2536.0,3,1150.0,Gurgaon,104.0,9259.0,0.2738956690787342
Ready to Move,14,Resale,2.0,21324.0,3,1150.0,Greater Noida,55.5,5784.5,3.686403319215144
Ready to Move,1,New Property,5.0,12778.0,4,1150.0,New Delhi,725.0,8796.0,1.4527057753524328
Ready to Move,0,Resale,3.0,40000.0,3,1150.0,New Delhi,230.0,8796.0,4.547521600727603
Ready to Move,20,Resale,2.0,3148.0,2,1150.0,Greater Noida,41.0,5784.5,0.5442129829717348
Ready to Move,3,Resale,2.0,3636.0,2,1150.0,Greater Noida,25.5,5784.5,0.6285763678796784
Under Construction,6,Resale,1.0,3182.0,1,1150.0,Greater Noida,20.0,5784.5,0.5500907597890915
Ready to Move,15,Resale,2.0,23889.0,2,1150.0,Greater Noida,35.0,5784.5,4.129829717348086
Ready to Move,6,Resale,3.0,7750.0,3,1150.0,Gurgaon,325.0,9259.0,0.8370234366562264
Ready to Move,20,Resale,2.0,5113.0,2,1150.0,Ghaziabad,62.0,5590.0,0.9146690518783542
Ready to Move,2,Resale,2.0,16111.0,2,1150.0,Ghaziabad,50.0,5590.0,2.8821109123434705
Ready to Move,1,New Property,3.0,7631.0,3,1150.0,New Delhi,290.0,8796.0,0.8675534333788085
Under Construction,4,New Property,4.0,9369.0,4,1850.0,Gurgaon,193.0,9259.0,1.0118803326493142
Ready to Move,2,Resale,2.0,4779.0,2,1100.0,Gurgaon,27.0,9259.0,0.5161464521006588
Ready to Move,2,Resale,2.0,8889.0,3,1720.0,Noida,120.0,7233.0,1.228950642886769
Under Construction,0,Resale,2.0,7723.0,2,7000.0,Gurgaon,78.0,9259.0,0.8341073550059401
Ready to Move,3,Resale,2.0,4112.0,2,400.0,Ghaziabad,50.0,5590.0,0.7355992844364937
Ready to Move,0,Resale,3.0,13889.0,3,1215.0,New Delhi,225.0,8796.0,1.579013187812642
Ready to Move,1,Resale,2.0,2667.0,2,4200.0,Ghaziabad,24.0,5590.0,0.4771019677996422
Ready to Move,2,Resale,4.0,7973.0,4,1600.0,Noida,175.0,7233.0,1.1023088621595465
Ready to Move,5,Resale,2.0,11148.0,3,1250.0,New Delhi,150.0,8796.0,1.2673942701227832
Ready to Move,3,Resale,3.0,3691.0,3,700.0,Ghaziabad,55.0,5590.0,0.6602862254025045
Ready to Move,7,New Property,1.0,11092.0,1,1150.0,Gurgaon,66.0,9259.0,1.1979695431472082
Ready to Move,9,Resale,2.0,7500.0,3,1150.0,Noida,105.0,7233.0,1.0369141435089175
Ready to Move,1,Resale,4.0,6373.0,4,1150.0,Gurgaon,130.0,9259.0,0.6883032724916298
Ready to Move,14,Resale,2.0,11875.0,3,1150.0,New Delhi,190.0,8796.0,1.3500454752160074
Ready to Move,2,Resale,1.0,6667.0,1,1150.0,New Delhi,20.0,8796.0,0.7579581628012733
Ready to Move,3,Resale,2.0,11348.0,2,1150.0,Gurgaon,170.0,9259.0,1.2256183173128847
Ready to Move,4,New Property,2.0,10417.0,2,1150.0,Gurgaon,135.0,9259.0,1.125067501890053
Ready to Move,14,Resale,2.0,6328.0,2,1150.0,New Delhi,120.0,8796.0,0.7194179172351068
Ready to Move,1,New Property,3.0,11370.0,3,1150.0,Ghaziabad,112.0,5590.0,2.033989266547406
Ready to Move,7,Resale,3.0,7168.0,3,1450.0,New Delhi,225.0,8796.0,0.8149158708503865
Ready to Move,0,Resale,2.0,9496.0,3,900.0,New Delhi,75.0,8796.0,1.079581628012733
Ready to Move,1,Resale,2.0,4900.0,2,950.0,Greater Noida,92.0,5784.5,0.8470913648543521
Ready to Move,2,Resale,2.0,6400.0,2,4698.0,Ghaziabad,55.0,5590.0,1.144901610017889
Ready to Move,2,New Property,3.0,6400.0,3,1100.0,Gurgaon,125.0,9259.0,0.6912193541419159
Ready to Move,0,New Property,3.0,5833.0,3,5000.0,Gurgaon,125.0,9259.0,0.6299816394859056
Ready to Move,5,Resale,2.0,4167.0,2,1150.0,Greater Noida,42.0,5784.5,0.7203734117036908
Ready to Move,3,Resale,2.0,6857.0,3,1150.0,New Delhi,50.0,8796.0,0.7795588904047295
Ready to Move,2,Resale,4.0,19667.0,4,1150.0,Gurgaon,120.0,9259.0,2.124095474673291
Ready to Move,2,Resale,2.0,8774.0,2,1150.0,Gurgaon,43.0,9259.0,0.947618533318933
Ready to Move,1,Resale,3.0,5833.0,3,1150.0,New Delhi,295.0,8796.0,0.6631423374261027
Ready to Move,10,Resale,2.0,3583.0,3,1150.0,New Delhi,85.0,8796.0,0.4073442473851751
Ready to Move,0,Resale,1.0,4167.0,1,1150.0,Noida,35.0,7233.0,0.5761094981335545
Ready to Move,13,Resale,2.0,5769.0,4,1150.0,Greater Noida,120.0,5784.5,0.9973204252744403
Ready to Move,0,Resale,3.0,4364.0,3,1150.0,Faridabad,60.0,5662.5,0.7706843267108168
Ready to Move,3,Resale,2.0,19882.0,3,1150.0,Ghaziabad,30.0,5590.0,3.5567084078711986
Ready to Move,1,Resale,4.0,10000.0,2,1150.0,Noida,48.0,7233.0,1.3825521913452232
Ready to Move,1,Resale,5.0,3556.0,4,1150.0,Gurgaon,675.0,9259.0,0.38405875364510206
Ready to Move,1,Resale,1.0,7631.0,5,1150.0,Noida,620.0,7233.0,1.05502557721554
Ready to Move,1,Resale,2.0,7631.0,2,1150.0,New Delhi,16.0,8796.0,0.8675534333788085
Ready to Move,7,New Property,2.0,7631.0,2,800.0,Gurgaon,95.0,9259.0,0.8241710767901501
Ready to Move,1,New Property,3.0,5920.0,3,1827.0,New Delhi,74.0,8796.0,0.6730331969076853
Ready to Move,0,New Property,4.0,27778.0,4,1800.0,New Delhi,750.0,8796.0,3.158026375625284
Ready to Move,23,New Property,2.0,7215.0,2,500.0,Ghaziabad,79.0,5590.0,1.2906976744186047
Ready to Move,1,Resale,1.0,4815.0,1,1150.0,Ghaziabad,26.0,5590.0,0.8613595706618963
Ready to Move,0,Resale,2.0,10101.0,2,1150.0,New Delhi,90.0,8796.0,1.148362892223738
Ready to Move,1,Resale,1.0,4722.0,2,1150.0,New Delhi,25.5,8796.0,0.5368349249658936
Ready to Move,5,Resale,3.0,13462.0,3,1150.0,Gurgaon,165.0,9259.0,1.4539367102278864
Ready to Move,28,Resale,3.0,6222.0,3,1150.0,Greater Noida,71.0,5784.5,1.0756331575762814
Ready to Move,0,Resale,2.0,6667.0,2,1150.0,Ghaziabad,40.0,5590.0,1.192665474060823
Ready to Move,2,New Property,3.0,3523.0,2,1150.0,Faridabad,24.3,5662.5,0.6221633554083885
Ready to Move,3,Resale,1.0,4583.0,4,1150.0,New Delhi,65.0,8796.0,0.5210322874033652
Ready to Move,3,Resale,1.0,8129.0,3,1150.0,New Delhi,85.0,8796.0,0.9241700773078673
Ready to Move,1,Resale,2.0,7631.0,3,1150.0,New Delhi,150.0,8796.0,0.8675534333788085
Ready to Move,15,Resale,2.0,6633.0,2,810.0,Noida,66.0,7233.0,0.9170468685192866
Ready to Move,2,Resale,2.0,6111.0,2,1400.0,Ghaziabad,55.0,5590.0,1.0932021466905189
Ready to Move,6,Resale,3.0,6904.0,3,1565.0,Ghaziabad,155.0,5590.0,1.2350626118067978
Under Construction,2,Resale,2.0,5484.0,3,1800.0,Faridabad,85.0,5662.5,0.968476821192053
Ready to Move,2,Resale,2.0,7407.0,3,1800.0,New Delhi,80.0,8796.0,0.842087312414734
Ready to Move,4,Resale,2.0,7407.0,3,2800.0,New Delhi,100.0,8796.0,0.842087312414734
Ready to Move,17,Resale,5.0,8961.0,4,928.0,Greater Noida,200.0,5784.5,1.5491399429509898
Ready to Move,0,Resale,2.0,10451.0,2,1100.0,Greater Noida,225.0,5784.5,1.806724868182211
Ready to Move,2,Resale,3.0,7916.0,2,1150.0,Noida,71.1,7233.0,1.0944283146688787
Ready to Move,10,Resale,4.0,8461.0,4,1150.0,New Delhi,247.0,8796.0,0.9619145065939063
Ready to Move,1,Resale,2.0,4844.0,3,1150.0,Greater Noida,65.0,5784.5,0.8374103206845881
Ready to Move,2,Resale,2.0,2727.0,3,1150.0,Ghaziabad,30.0,5590.0,0.4878354203935599
Ready to Move,1,Resale,3.0,12500.0,3,1150.0,New Delhi,250.0,8796.0,1.421100500227376
Ready to Move,3,Resale,4.0,6875.0,4,1150.0,Gurgaon,220.0,9259.0,0.7425207905821363
Ready to Move,1,Resale,1.0,20627.0,3,1150.0,New Delhi,125.0,8796.0,2.3450432014552067
Under Construction,1,Resale,2.0,5435.0,2,1150.0,Greater Noida,75.0,5784.5,0.9395799118333478
Ready to Move,2,Resale,1.0,4682.0,1,1150.0,Greater Noida,28.0,5784.5,0.8094044429077708
Ready to Move,5,Resale,2.0,4770.0,2,900.0,Ghaziabad,57.0,5590.0,0.853309481216458
Ready to Move,2,Resale,2.0,6889.0,2,578.0,Ghaziabad,62.0,5590.0,1.2323792486583185
Ready to Move,1,Resale,2.0,7522.0,2,2475.0,Gurgaon,51.0,9259.0,0.8123987471649207
Ready to Move,2,Resale,2.0,7500.0,3,1425.0,New Delhi,75.0,8796.0,0.8526603001364257
Ready to Move,4,Resale,2.0,8000.0,2,1650.0,New Delhi,63.0,8796.0,0.9095043201455207
Ready to Move,3,Resale,1.0,11304.0,1,500.0,New Delhi,25.0,8796.0,1.2851296043656206
Ready to Move,17,Resale,1.0,4639.0,1,650.0,Greater Noida,52.0,5784.5,0.801970783991702
Ready to Move,10,Resale,3.0,8048.0,3,1150.0,Ghaziabad,90.0,5590.0,1.4397137745974955
Ready to Move,4,Resale,2.0,4000.0,2,1150.0,Gurgaon,120.0,9259.0,0.43201209633869747
Ready to Move,1,New Property,1.0,3742.0,2,1150.0,Greater Noida,18.0,5784.5,0.6469012014867318
Ready to Move,6,Resale,3.0,7812.0,3,1150.0,Greater Noida,65.0,5784.5,1.3505056616820814
Ready to Move,0,Resale,3.0,11111.0,4,1150.0,New Delhi,42.0,8796.0,1.26318781264211
Ready to Move,3,Resale,1.0,33333.0,1,1150.0,New Delhi,19.0,8796.0,3.78956343792633
Ready to Move,1,New Property,2.0,7981.0,2,1150.0,New Delhi,25.0,8796.0,0.907344247385175
Ready to Move,3,Resale,2.0,7778.0,2,1150.0,New Delhi,85.0,8796.0,0.8842655752614825
Ready to Move,1,Resale,2.0,7857.0,3,1150.0,Faridabad,38.0,5662.5,1.3875496688741722
Ready to Move,1,Resale,1.0,5333.0,1,1150.0,Faridabad,35.0,5662.5,0.9418101545253863
Ready to Move,1,Resale,2.0,8494.0,2,1150.0,New Delhi,55.0,8796.0,0.9656662119145066
Ready to Move,2,Resale,2.0,4444.0,2,720.0,New Delhi,60.0,8796.0,0.5052296498408367
Ready to Move,11,Resale,2.0,4000.0,2,900.0,Ghaziabad,48.0,5590.0,0.7155635062611807
Under Construction,1,Resale,3.0,6818.0,4,900.0,Gurgaon,150.0,9259.0,0.7363646182093099
Ready to Move,1,Resale,2.0,7760.0,5,1400.0,New Delhi,97.0,8796.0,0.882219190541155
Ready to Move,1,New Property,4.0,6499.0,4,1534.0,Ghaziabad,155.0,5590.0,1.1626118067978533
Ready to Move,15,Resale,2.0,4921.0,2,916.0,Greater Noida,47.0,5784.5,0.8507217564180136
