status,floor,transaction,bathroom,Rate_per_sqft,bedroom,carpet_area_sqft,area,Price_Lakhs,area_median_ppsf,ppsf_vs_area
Ready to Move,5,New Property,1.0,8485.0,3,1100.0,New Delhi,42.0,8796.0,0.9646430195543428
Ready to Move,1,New Property,5.0,14000.0,5,1200.0,Noida,700.0,7233.0,1.9355730678833125
Ready to Move,3,Resale,2.0,2875.0,2,650.0,Ghaziabad,23.0,5590.0,0.5143112701252236
Ready to Move,29,Resale,2.0,27083.0,2,410.0,Gurgaon,325.0,9259.0,2.925045901285236
Ready to Move,16,Resale,2.0,8276.0,3,2263.0,New Delhi,120.0,8796.0,0.9408822191905412
Ready to Move,12,Resale,2.0,4400.0,2,1850.0,Ghaziabad,29.7,5590.0,0.7871198568872988
Ready to Move,6,Resale,1.0,12500.0,1,890.0,Noida,74.4,7233.0,1.7281902391815291
Ready to Move,2,Resale,4.0,10667.0,4,1150.0,New Delhi,240.0,8796.0,1.2127103228740337
Ready to Move,2,Resale,2.0,8438.0,3,1150.0,New Delhi,60.0,8796.0,0.959299681673488
Under Construction,2,Resale,5.0,11852.0,4,1150.0,Noida,270.0,7233.0,1.6386008571823587
Ready to Move,1,Resale,5.0,3333.0,5,1150.0,Gurgaon,160.0,9259.0,0.3599740792742197
Ready to Move,1,Resale,1.0,9909.0,2,1150.0,New Delhi,120.0,8796.0,1.1265347885402455
Ready to Move,1,Resale,2.0,4857.0,2,1150.0,Ghaziabad,30.0,5590.0,0.8688729874776386
Ready to Move,1,Resale,1.0,9806.0,2,1150.0,New Delhi,80.0,8796.0,1.114824920418372
Ready to Move,1,Resale,2.0,9355.0,1,1150.0,Ghaziabad,17.0,5590.0,1.6735241502683362
Ready to Move,1,Resale,2.0,7631.0,2,1150.0,Greater Noida,95.0,5784.5,1.3192151439190942
Ready to Move,3,Resale,4.0,3556.0,4,875.0,Gurgaon,80.0,9259.0,0.38405875364510206
Ready to Move,0,New Property,2.0,2513.0,2,700.0,Greater Noida,24.5,5784.5,0.4344368571181606
Ready to Move,3,Resale,4.0,10000.0,4,2588.0,Noida,570.0,7233.0,1.3825521913452232
Ready to Move,2,New Property,1.0,3017.0,1,600.0,Ghaziabad,18.1,5590.0,0.5397137745974955
Ready to Move,3,New Property,1.0,4515.0,1,1800.0,Greater Noida,25.7,5784.5,0.7805341861872245
Ready to Move,0,Resale,2.0,9259.0,3,2150.0,Gurgaon,125.0,9259.0,1.0
Ready to Move,2,Resale,3.0,5500.0,3,1522.0,Ghaziabad,66.0,5590.0,0.9838998211091234
Ready to Move,1,Resale,1.0,6923.0,2,1800.0,New Delhi,45.0,8796.0,0.78706230104593
Ready to Move,0,Resale,3.0,5231.0,3,1100.0,New Delhi,34.0,8796.0,0.5947021373351523
Ready to Move,0,Resale,2.0,85000.0,3,1200.0,New Delhi,170.0,8796.0,9.663483401546157
Ready to Move,5,Resale,2.0,7907.0,2,1150.0,Greater Noida,70.0,5784.5,1.3669288616129311
Ready to Move,8,Resale,4.0,4565.0,3,1150.0,Gurgaon,170.0,9259.0,0.4930338049465385
Ready to Move,5,Resale,3.0,8750.0,2,1150.0,New Delhi,60.0,8796.0,0.9947703501591633
Ready to Move,8,New Property,4.0,4321.0,4,1150.0,Gurgaon,251.0,9259.0,0.46668106706987794
Ready to Move,9,Resale,3.0,4500.0,3,1150.0,New Delhi,225.0,8796.0,0.5115961800818554
Ready to Move,1,Resale,1.0,7631.0,1,1150.0,Ghaziabad,16.8,5590.0,1.3651162790697675
Ready to Move,1,Resale,1.0,2923.0,1,900.0,Faridabad,11.4,5662.5,0.5162030905077263
Ready to Move,10,Resale,4.0,6173.0,4,1300.0,Faridabad,125.0,5662.5,1.0901545253863134
Ready to Move,5,Resale,2.0,2921.0,3,1000.0,Faridabad,44.4,5662.5,0.5158498896247241
Under Construction,3,Resale,1.0,4815.0,1,1350.0,New Delhi,13.0,8796.0,0.5474079126875853
Ready to Move,3,Resale,2.0,7426.0,3,1950.0,New Delhi,100.0,8796.0,0.8442473851750796
Ready to Move,2,Resale,2.0,2400.0,1,760.0,Greater Noida,12.0,5784.5,0.4149018929898868
Ready to Move,4,Resale,3.0,19500.0,2,1150.0,New Delhi,195.0,8796.0,2.2169167803547065
Ready to Move,5,Resale,2.0,4969.0,2,1150.0,Noida,40.0,7233.0,0.6869901838794414
Ready to Move,3,Resale,2.0,5833.0,2,1150.0,New Delhi,35.0,8796.0,0.6631423374261027
Under Construction,2,Resale,1.0,2600.0,2,1150.0,Noida,22.1,7233.0,0.35946356974975807
Ready to Move,2,Resale,3.0,5556.0,3,1150.0,Gurgaon,100.0,9259.0,0.6000648018144508
